Name_Cost,Name,Cost
Robert Fletcher 3200,Robert Fletcher,3200
Reg Bamford 3000,Reg Bamford,3000
Paddy Chapman 2000,Paddy Chapman,2000
James Death 1950,James Death,1950
Jose Riva 1950,Jose Riva,1950
Ben Rothman 1900,Ben Rothman,1900
Mark Avery 1850,Mark Avery,1850
Malcolm Fletcher 1800,Malcolm Fletcher,1800
Matthew Essick 1750,Matthew Essick,1750
Simon Hockey 1700,Simon Hockey,1700
Greg Bryant 1550,Greg Bryant,1550
David Maugham 1500,David Maugham,1500
Stephen Mulliner 1500,Stephen Mulliner,1500
Edward Wilson 1400,Edward Wilson,1400
Aiken Hakes 1350,Aiken Hakes,1350
Jenny Clarke 1350,Jenny Clarke,1350
Stephen Forster 1300,Stephen Forster,1300
Peter Landrebe 1250,Peter Landrebe,1250
Samir Patel 1250,Samir Patel,1250
Duncan Reeve 1100,Duncan Reeve,1100
Felix Webby 1100,Felix Webby,1100
Ian Burridge 1100,Ian Burridge,1100
Chris Shilling 1000,Chris Shilling,1000
Alain Giraud 850,Alain Giraud,850
Dominic Nunns 800,Dominic Nunns,800
Jeff Newcombe 800,Jeff Newcombe,800
Pete Trimmer 800,Pete Trimmer,800
Dwayne McCormick 750,Dwayne McCormick,750
Ian Dumergue 750,Ian Dumergue,750
Jim Nicholls 750,Jim Nicholls,750
Brian Cumming 700,Brian Cumming,700
Harry Fisher 700,Harry Fisher,700
Stephen Morgan 700,Stephen Morgan,700
Alison Sharpe 650,Alison Sharpe,650
Harps Tahurangi 650,Harps Tahurangi,650
Kevin Beard 650,Kevin Beard,650
Peter Ross 650,Peter Ross,650
Richard M Smith 650,Richard M Smith,650
Stuart Lawrence 650,Stuart Lawrence,650
Callum Hyland 600,Callum Hyland,600
Sherif Abdelwahab 600,Sherif Abdelwahab,600
Simon Watkins 600,Simon Watkins,600
Dennis Bulloch 550,Dennis Bulloch,550
James Galpin 550,James Galpin,550
Trevor Bassett 550,Trevor Bassett,550
Alan Walsh 500,Alan Walsh,500
Andy Myers 500,Andy Myers,500
John Christie 500,John Christie,500
Logan McCorkindale 500,Logan McCorkindale,500
Robert Wilkinson 450,Robert Wilkinson,450
Alan Sands 400,Alan Sands,400
Dave Luxmoore 400,Dave Luxmoore,400
Ian Bassett 400,Ian Bassett,400
Les Watson 400,Les Watson,400
Ted Salter 400,Ted Salter,400
Alan Honey 350,Alan Honey,350
Eugene Chang 350,Eugene Chang,350
Gareth Denyer 350,Gareth Denyer,350
Jim Bast 350,Jim Bast,350
Kenn Boal 350,Kenn Boal,350
Michael Wright 350,Michael Wright,350
Nelson Morrow 350,Nelson Morrow,350
Robert Elliott 350,Robert Elliott,350
Rosemary Landrebe 350,Rosemary Landrebe,350
Simon Jenkins 350,Simon Jenkins,350
Tim Murphy 350,Tim Murphy,350
Chris O'Byrne 300,Chris O'Byrne,300
Murray Baum 300,Murray Baum,300
William Hadden 300,William Hadden,300
Peter Westaway 200,Peter Westaway,200
Brigitte Westaway 150,Brigitte Westaway,150
Andrejs Savinovs 100,Andrejs Savinovs,100
Shoichi Nakamura 100,Shoichi Nakamura,100
